,Year,Country,Origin,Refugees,Asylum,Returned refugees,Internally displaced persons,Returned IDPs,Stateless persons,Others of concern,Total Population
63,2001,United States of America,Brazil,195,568,0,0,0,0,0,763
64,2002,Australia,Brazil,11,35,0,0,0,0,0,46
65,2002,Belgium,Brazil,1,0,0,0,0,0,0,1
66,2002,Canada,Brazil,40,570,0,0,0,0,0,610
67,2002,Switzerland,Brazil,6,4,0,0,0,0,0,10
68,2002,Germany,Brazil,150,0,0,0,0,0,0,150
69,2002,Netherlands,Brazil,2,1,0,0,0,0,0,3
70,2002,Sweden,Brazil,0,10,0,0,0,0,0,10
71,2002,United States of America,Brazil,231,527,0,0,0,0,0,758
72,2003,Australia,Brazil,9,16,0,0,0,0,0,25
73,2003,Belgium,Brazil,1,0,0,0,0,0,0,1
74,2003,Canada,Brazil,36,671,0,0,0,0,0,707
75,2003,Switzerland,Brazil,5,1,0,0,0,0,0,6
76,2003,Germany,Brazil,164,0,0,0,0,0,0,164
77,2003,Ecuador,Brazil,0,1,0,0,0,0,0,1
78,2003,United Kingdom,Brazil,1,0,0,0,0,0,0,1
79,2003,Ireland,Brazil,0,12,0,0,0,0,0,12
80,2003,Netherlands,Brazil,3,2,0,0,0,0,0,5
81,2003,New Zealand,Brazil,0,4,0,0,0,0,0,4
82,2003,Sweden,Brazil,1,4,0,0,0,0,0,5
83,2003,United States of America,Brazil,158,556,0,0,0,0,0,714
84,2004,Australia,Brazil,8,1,0,0,0,0,0,9
85,2004,Belgium,Brazil,1,0,0,0,0,0,0,1
86,2004,Canada,Brazil,30,124,0,0,0,0,0,154
87,2004,Switzerland,Brazil,6,1,0,0,0,0,0,7
88,2004,Germany,Brazil,154,1,0,0,0,0,0,155
89,2004,Ecuador,Brazil,0,1,0,0,0,0,0,1
90,2004,United Kingdom,Brazil,1,0,0,0,0,0,0,1
91,2004,Ireland,Brazil,0,6,0,0,0,0,0,6
92,2004,Netherlands,Brazil,3,2,0,0,0,0,0,5
93,2004,New Zealand,Brazil,0,4,0,0,0,0,0,4
94,2004,Sweden,Brazil,1,0,0,0,0,0,0,1
95,2004,United States of America,Brazil,199,877,0,0,0,0,0,1076
96,2005,Argentina,Brazil,0,1,0,0,0,0,0,1
97,2005,Australia,Brazil,7,4,0,0,0,0,0,11
98,2005,Brazil,Brazil,0,0,0,0,0,91,0,91
99,2005,Canada,Brazil,79,89,0,0,0,0,0,168
100,2005,Switzerland,Brazil,6,2,0,0,0,0,0,8
101,2005,Germany,Brazil,12,1,0,0,0,0,0,13
102,2005,United Kingdom,Brazil,1,0,0,0,0,0,0,1
103,2005,Mexico,Brazil,0,1,0,0,0,0,0,1
104,2005,Netherlands,Brazil,3,0,0,0,0,0,0,3
105,2005,New Zealand,Brazil,0,6,0,0,0,0,0,6
106,2005,Sweden,Brazil,1,3,0,0,0,0,0,4
107,2005,United States of America,Brazil,261,486,0,0,0,0,0,747
108,2006,Argentina,Brazil,0,1,0,0,0,0,0,1
109,2006,Australia,Brazil,6,2,0,0,0,0,0,8
110,2006,Austria,Brazil,0,1,0,0,0,0,0,1
111,2006,Canada,Brazil,110,54,0,0,0,0,0,164
112,2006,Switzerland,Brazil,5,1,0,0,0,0,0,6
113,2006,Germany,Brazil,135,3,0,0,0,0,0,138
114,2006,Ecuador,Brazil,0,1,0,0,0,0,0,1
115,2006,France,Brazil,7,0,0,0,0,0,0,7
116,2006,United Kingdom,Brazil,1,0,0,0,0,0,0,1
117,2006,Ireland,Brazil,2,4,0,0,0,0,0,6
118,2006,Netherlands,Brazil,3,1,0,0,0,0,0,4
119,2006,Norway,Brazil,0,1,0,0,0,0,0,1
120,2006,New Zealand,Brazil,1,0,0,0,0,0,0,1
121,2006,Sweden,Brazil,1,4,0,0,0,0,0,5
122,2006,United States of America,Brazil,436,360,0,0,0,0,0,796
123,2007,Argentina,Brazil,0,2,0,0,0,0,0,2
124,2007,Australia,Brazil,15,0,0,0,0,0,0,15
125,2007,Austria,Brazil,0,1,0,0,0,0,0,1
126,2007,Bolivia (Plurinational State of),Brazil,0,1,0,0,0,0,0,1
127,2007,Canada,Brazil,165,96,0,0,0,0,0,261
128,2007,Switzerland,Brazil,5,1,0,0,0,0,0,6
129,2007,Chile,Brazil,1,0,0,0,0,0,0,1
130,2007,Germany,Brazil,913,1,0,0,0,0,0,914
131,2007,France,Brazil,9,0,0,0,0,0,0,9
132,2007,United Kingdom,Brazil,2,0,0,0,0,0,0,2
133,2007,Ireland,Brazil,4,7,0,0,0,0,0,11
134,2007,Italy,Brazil,3,0,0,0,0,0,0,3
135,2007,Mexico,Brazil,0,1,0,0,0,0,0,1
136,2007,Netherlands,Brazil,3,0,0,0,0,0,0,3
137,2007,Norway,Brazil,0,1,0,0,0,0,0,1
138,2007,New Zealand,Brazil,1,1,0,0,0,0,0,2
139,2007,Sweden,Brazil,1,3,0,0,0,0,0,4
140,2007,United States of America,Brazil,502,197,0,0,0,0,0,699
141,2008,Australia,Brazil,10,1,0,0,0,0,0,11
142,2008,Austria,Brazil,1,0,0,0,0,0,0,1
143,2008,Canada,Brazil,176,154,0,0,0,0,0,330
144,2008,Switzerland,Brazil,5,1,0,0,0,0,0,6
145,2008,Chile,Brazil,1,0,0,0,0,0,0,1
146,2008,Germany,Brazil,658,0,0,0,0,0,0,658
147,2008,Denmark,Brazil,0,1,0,0,0,0,0,1
148,2008,Ecuador,Brazil,0,1,0,0,0,0,0,1
149,2008,Finland,Brazil,0,1,0,0,0,0,0,1
150,2008,France,Brazil,9,0,0,0,0,0,0,9
151,2008,United Kingdom,Brazil,2,0,0,0,0,0,0,2
152,2008,Greece,Brazil,0,2,0,0,0,0,0,2
153,2008,Hungary,Brazil,0,2,0,0,0,0,0,2
154,2008,Ireland,Brazil,4,11,0,0,0,0,0,15
155,2008,Italy,Brazil,4,0,0,0,0,0,0,4
156,2008,Mexico,Brazil,0,1,0,0,0,0,0,1
157,2008,Netherlands,Brazil,4,0,0,0,0,0,0,4
158,2008,New Zealand,Brazil,1,0,0,0,0,0,0,1
159,2008,Peru,Brazil,0,2,0,0,0,0,0,2
160,2008,Sweden,Brazil,1,2,0,0,0,0,0,3
161,2008,Uruguay,Brazil,0,1,0,0,0,0,0,1
162,2008,United States of America,Brazil,528,189,0,0,0,0,0,717
163,2009,Australia,Brazil,9,0,0,0,0,0,0,9
164,2009,Austria,Brazil,1,0,0,0,0,0,0,1
165,2009,Brazil,Brazil,0,0,0,0,0,106,0,106
166,2009,Canada,Brazil,168,178,0,0,0,0,0,346
167,2009,Switzerland,Brazil,6,1,0,0,0,0,0,7
168,2009,Germany,Brazil,163,2,0,0,0,0,0,165
169,2009,Ecuador,Brazil,0,7,0,0,0,0,0,7
170,2009,Finland,Brazil,0,2,0,0,0,0,0,2
171,2009,France,Brazil,9,0,0,0,0,0,0,9
172,2009,United Kingdom,Brazil,3,0,0,0,0,0,0,3
173,2009,Hungary,Brazil,0,2,0,0,0,0,0,2
174,2009,Ireland,Brazil,4,1,0,0,0,0,0,5
175,2009,Italy,Brazil,10,0,0,0,0,0,0,10
176,2009,Mexico,Brazil,0,1,0,0,0,0,0,1
177,2009,Netherlands,Brazil,4,1,0,0,0,0,0,5
178,2009,New Zealand,Brazil,1,5,0,0,0,0,0,6
179,2009,Peru,Brazil,0,1,0,0,0,0,0,1
180,2009,Paraguay,Brazil,0,1,0,0,0,0,0,1
181,2009,Sweden,Brazil,1,5,0,0,0,0,0,6
182,2009,Uruguay,Brazil,0,1,0,0,0,0,0,1
183,2009,United States of America,Brazil,594,166,0,0,0,0,0,760
184,2010,Australia,Brazil,8,5,0,0,0,0,0,13
185,2010,Austria,Brazil,1,0,0,0,0,0,0,1
186,2010,Canada,Brazil,168,179,0,0,0,0,0,347
187,2010,Switzerland,Brazil,7,1,0,0,0,0,0,8
188,2010,Germany,Brazil,143,0,0,0,0,0,0,143
189,2010,Denmark,Brazil,0,1,0,0,0,0,0,1
190,2010,Ecuador,Brazil,0,11,0,0,0,0,0,11
191,2010,Spain,Brazil,0,1,0,0,0,0,0,1
192,2010,Finland,Brazil,0,2,0,0,0,0,0,2
193,2010,France,Brazil,8,0,0,0,0,0,0,8
194,2010,United Kingdom,Brazil,8,0,0,0,0,0,0,8
195,2010,Greece,Brazil,0,1,0,0,0,0,0,1
196,2010,Hungary,Brazil,0,2,0,0,0,0,0,2
197,2010,Ireland,Brazil,4,10,0,0,0,0,0,14
198,2010,Italy,Brazil,11,0,0,0,0,0,0,11
199,2010,Mexico,Brazil,1,0,0,0,0,0,0,1
200,2010,Netherlands,Brazil,4,0,0,0,0,0,0,4
201,2010,New Zealand,Brazil,1,3,0,0,0,0,0,4
202,2010,Peru,Brazil,0,1,0,0,0,0,0,1
203,2010,Sweden,Brazil,1,1,0,0,0,0,0,2
204,2010,Uruguay,Brazil,0,1,0,0,0,0,0,1
205,2010,United States of America,Brazil,629,31,0,0,0,0,0,660
206,2011,Australia,Brazil,7,8,0,0,0,0,0,15
207,2011,Austria,Brazil,1,0,0,0,0,0,0,1
208,2011,Belgium,Brazil,0,2,0,0,0,0,0,2
209,2011,Canada,Brazil,169,95,0,0,0,0,0,264
210,2011,Switzerland,Brazil,5,2,0,0,0,0,0,7
211,2011,Germany,Brazil,159,3,0,0,0,0,0,162
212,2011,Ecuador,Brazil,0,4,0,0,0,0,0,4
213,2011,Finland,Brazil,2,0,0,0,0,0,0,2
214,2011,France,Brazil,8,0,0,0,0,0,0,8
215,2011,United Kingdom,Brazil,9,21,0,0,0,0,0,30
216,2011,Ireland,Brazil,4,14,0,0,0,0,0,18
217,2011,Italy,Brazil,11,0,0,0,0,0,0,11
218,2011,Japan,Brazil,0,3,0,0,0,0,0,3
219,2011,Mexico,Brazil,1,1,0,0,0,0,0,2
220,2011,Netherlands,Brazil,2,1,0,0,0,0,0,3
221,2011,Norway,Brazil,0,8,0,0,0,0,0,8
222,2011,New Zealand,Brazil,1,0,0,0,0,0,0,1
223,2011,Portugal,Brazil,0,1,0,0,0,0,0,1
224,2011,Sweden,Brazil,4,1,0,0,0,0,0,5
225,2011,Uruguay,Brazil,0,1,0,0,0,0,0,1
226,2011,United States of America,Brazil,662,36,0,0,0,0,0,698
227,2012,Argentina,Brazil,0,1,0,0,0,0,0,1
228,2012,Australia,Brazil,6,9,0,0,0,0,0,15
229,2012,Austria,Brazil,1,0,0,0,0,0,0,1
230,2012,Brazil,Brazil,0,0,0,0,0,1,0,1
231,2012,Canada,Brazil,175,73,0,0,0,0,0,248
232,2012,Switzerland,Brazil,6,1,0,0,0,0,0,7
233,2012,Germany,Brazil,163,4,0,0,0,0,0,167
234,2012,Ecuador,Brazil,3,0,0,0,0,0,0,3
235,2012,Finland,Brazil,2,2,0,0,0,0,0,4
236,2012,France,Brazil,8,0,0,0,0,0,0,8
237,2012,United Kingdom,Brazil,9,16,0,0,0,0,0,25
238,2012,"China, Hong Kong SAR",Brazil,0,1,0,0,0,0,0,1
239,2012,Ireland,Brazil,4,14,0,0,0,0,0,18
240,2012,Italy,Brazil,12,12,0,0,0,0,0,24
241,2012,Japan,Brazil,0,1,0,0,0,0,0,1
242,2012,Mexico,Brazil,1,0,0,0,0,0,0,1
243,2012,Malawi,Brazil,0,2,0,0,0,0,0,2
244,2012,Netherlands,Brazil,2,1,0,0,0,0,0,3
245,2012,Norway,Brazil,0,1,0,0,0,0,0,1
246,2012,New Zealand,Brazil,1,0,0,0,0,0,0,1
247,2012,Sweden,Brazil,4,0,0,0,0,0,0,4
248,2012,Uruguay,Brazil,0,3,0,0,0,0,0,3
249,2012,United States of America,Brazil,679,110,0,0,0,0,0,789
250,2013,Argentina,Brazil,1,0,0,0,0,0,0,1
251,2013,Australia,Brazil,3,9,0,0,0,0,0,12
252,2013,Austria,Brazil,1,1,0,0,0,0,0,2
253,2013,Belgium,Brazil,0,2,0,0,0,0,0,2
254,2013,Bolivia (Plurinational State of),Brazil,0,1,0,0,0,0,0,1
255,2013,Brazil,Brazil,0,0,0,0,0,2,0,2
256,2013,Canada,Brazil,177,25,0,0,0,0,0,202
257,2013,Switzerland,Brazil,10,1,0,0,0,0,0,11
258,2013,Chile,Brazil,0,1,0,0,0,0,0,1
259,2013,Costa Rica,Brazil,0,1,0,0,0,0,0,1
260,2013,Germany,Brazil,66,10,0,0,0,0,0,76
261,2013,Ecuador,Brazil,3,0,0,0,0,0,0,3
262,2013,Spain,Brazil,0,2,0,0,0,0,0,2
263,2013,Finland,Brazil,2,3,0,0,0,0,0,5
264,2013,France,Brazil,8,7,0,0,0,0,0,15
265,2013,United Kingdom,Brazil,12,21,0,0,0,0,0,33
266,2013,Greece,Brazil,0,1,0,0,0,0,0,1
267,2013,"China, Hong Kong SAR",Brazil,0,1,0,0,0,0,0,1
268,2013,Ireland,Brazil,5,13,0,0,0,0,0,18
269,2013,Italy,Brazil,18,7,0,0,0,0,0,25
270,2013,Japan,Brazil,0,1,0,0,0,0,0,1
271,2013,Rep. of Korea,Brazil,0,2,0,0,0,0,0,2
272,2013,Mexico,Brazil,1,0,0,0,0,0,0,1
273,2013,Malawi,Brazil,0,2,0,0,0,0,0,2
274,2013,Netherlands,Brazil,1,0,0,0,0,0,0,1
275,2013,Norway,Brazil,0,1,0,0,0,0,0,1
276,2013,New Zealand,Brazil,1,0,0,0,0,0,0,1
277,2013,Portugal,Brazil,0,1,0,0,0,0,0,1
278,2013,Sweden,Brazil,7,0,0,0,0,0,0,7
279,2013,Uruguay,Brazil,0,3,0,0,0,0,0,3
280,2013,United States of America,Brazil,669,453,0,0,0,0,0,1122
281,2014,Argentina,Brazil,1,2,0,0,0,0,0,3
282,2014,Australia,Brazil,4,21,0,0,0,0,0,25
283,2014,Austria,Brazil,1,1,0,0,0,0,0,2
284,2014,Canada,Brazil,172,7,0,0,0,0,0,179
285,2014,Switzerland,Brazil,9,1,0,0,0,0,0,10
286,2014,Costa Rica,Brazil,0,1,0,0,0,0,0,1
287,2014,Germany,Brazil,58,16,0,0,0,0,0,74
288,2014,Ecuador,Brazil,3,0,0,0,0,0,0,3
289,2014,Spain,Brazil,0,2,0,0,0,0,0,2
290,2014,Finland,Brazil,4,5,0,0,0,0,0,9
291,2014,France,Brazil,11,5,0,0,0,0,0,16
292,2014,United Kingdom,Brazil,13,15,0,0,0,0,0,28
293,2014,"China, Hong Kong SAR",Brazil,0,1,0,0,0,0,0,1
294,2014,Ireland,Brazil,3,10,0,0,0,0,0,13
295,2014,Italy,Brazil,31,10,0,0,0,0,0,41
296,2014,Japan,Brazil,0,2,0,0,0,0,0,2
297,2014,Rep. of Korea,Brazil,0,1,0,0,0,0,0,1
298,2014,Mexico,Brazil,1,0,0,0,0,0,0,1
299,2014,Malawi,Brazil,0,2,0,0,0,0,0,2
300,2014,Netherlands,Brazil,1,0,0,0,0,0,0,1
301,2014,Norway,Brazil,0,4,0,0,0,0,0,4
302,2014,New Zealand,Brazil,1,2,0,0,0,0,0,3
303,2014,Sweden,Brazil,7,7,0,0,0,0,0,14
304,2014,United States of America,Brazil,656,1090,0,0,0,0,0,1746
305,2014,South Africa,Brazil,1,0,0,0,0,0,0,1
306,2015,Argentina,Brazil,1,3,0,0,0,0,0,4
307,2015,Australia,Brazil,4,15,0,0,0,0,0,19
308,2015,Austria,Brazil,1,2,0,0,0,0,0,3
309,2015,Canada,Brazil,124,30,0,0,0,0,0,154
310,2015,Switzerland,Brazil,11,0,0,0,0,0,0,11
311,2015,China,Brazil,0,1,0,0,0,0,0,1
312,2015,Costa Rica,Brazil,0,3,0,0,0,0,0,3
313,2015,Germany,Brazil,35,10,0,0,0,0,0,45
314,2015,Ecuador,Brazil,3,0,0,0,0,0,0,3
315,2015,Spain,Brazil,0,5,0,0,0,0,0,5
316,2015,Finland,Brazil,4,3,0,0,0,0,0,7
317,2015,France,Brazil,11,6,0,0,0,0,0,17
318,2015,United Kingdom,Brazil,14,19,0,0,0,0,0,33
319,2015,"China, Hong Kong SAR",Brazil,0,1,0,0,0,0,0,1
320,2015,Ireland,Brazil,3,4,0,0,0,0,0,7
321,2015,Italy,Brazil,43,27,0,0,0,0,0,70
322,2015,Japan,Brazil,0,7,0,0,0,0,0,7
323,2015,Mexico,Brazil,1,0,0,0,0,0,0,1
324,2015,Malawi,Brazil,2,0,0,0,0,0,0,2
325,2015,Netherlands,Brazil,1,2,0,0,0,0,0,3
326,2015,Norway,Brazil,0,1,0,0,0,0,0,1
327,2015,New Zealand,Brazil,1,2,0,0,0,0,0,3
328,2015,Panama,Brazil,0,2,0,0,0,0,0,2
329,2015,Portugal,Brazil,0,1,0,0,0,0,0,1
330,2015,Paraguay,Brazil,0,1,0,0,0,0,0,1
331,2015,Sweden,Brazil,8,12,0,0,0,0,0,20
332,2015,Uruguay,Brazil,0,1,0,0,0,0,0,1
333,2015,United States of America,Brazil,627,2001,0,0,0,0,0,2628
334,2015,South Africa,Brazil,1,0,0,0,0,0,0,1
335,2016,Argentina,Brazil,0,6,0,0,0,0,0,7
336,2016,Australia,Brazil,0,18,0,0,0,0,0,22
337,2016,Austria,Brazil,0,0,0,0,0,0,0,0
338,2016,Belgium,Brazil,0,0,0,0,0,0,0,0
339,2016,Canada,Brazil,63,49,0,0,0,0,0,112
340,2016,Switzerland,Brazil,9,0,0,0,0,0,0,13
341,2016,Colombia,Brazil,0,0,0,0,0,0,0,0
342,2016,Costa Rica,Brazil,0,0,0,0,0,0,0,0
343,2016,Germany,Brazil,29,26,0,0,0,0,0,55
344,2016,Spain,Brazil,0,20,0,0,0,0,0,20
345,2016,Finland,Brazil,0,0,0,0,0,0,0,0
346,2016,France,Brazil,12,0,0,0,0,0,0,13
347,2016,United Kingdom,Brazil,14,28,0,0,0,0,0,42
348,2016,Greece,Brazil,0,0,0,0,0,0,0,0
349,2016,Ireland,Brazil,0,33,0,0,0,0,0,35
350,2016,Italy,Brazil,64,82,0,0,0,0,0,146
351,2016,Mexico,Brazil,0,0,0,0,0,0,0,0
352,2016,Malawi,Brazil,0,0,0,0,0,0,0,0
353,2016,Netherlands,Brazil,0,0,0,0,0,0,0,0
354,2016,Norway,Brazil,0,0,0,0,0,0,0,0
355,2016,New Zealand,Brazil,0,6,0,0,0,0,0,6
356,2016,Panama,Brazil,0,0,0,0,0,0,0,0
357,2016,Peru,Brazil,0,0,0,0,0,0,0,0
358,2016,Sweden,Brazil,8,6,0,0,0,0,0,14
359,2016,United States of America,Brazil,594,3478,0,0,0,0,0,4072
