,Year,Country,Origin,Refugees,Asylum,Returned refugees,Internally displaced persons,Returned IDPs,Stateless persons,Others of concern,Total Population
67,2002,Switzerland,Brazil,6,4,0,0,0,0,0,10
83,2003,United States of America,Brazil,158,556,0,0,0,0,0,714
74,2003,Canada,Brazil,36,671,0,0,0,0,0,707
76,2003,Germany,Brazil,164,0,0,0,0,0,0,164
72,2003,Australia,Brazil,9,16,0,0,0,0,0,25
79,2003,Ireland,Brazil,0,12,0,0,0,0,0,12
95,2004,United States of America,Brazil,199,877,0,0,0,0,0,1076
88,2004,Germany,Brazil,154,1,0,0,0,0,0,155
86,2004,Canada,Brazil,30,124,0,0,0,0,0,154
84,2004,Australia,Brazil,8,1,0,0,0,0,0,9
87,2004,Switzerland,Brazil,6,1,0,0,0,0,0,7
107,2005,United States of America,Brazil,261,486,0,0,0,0,0,747
99,2005,Canada,Brazil,79,89,0,0,0,0,0,168
98,2005,Brazil,Brazil,0,0,0,0,0,91,0,91
101,2005,Germany,Brazil,12,1,0,0,0,0,0,13
97,2005,Australia,Brazil,7,4,0,0,0,0,0,11
122,2006,United States of America,Brazil,436,360,0,0,0,0,0,796
111,2006,Canada,Brazil,110,54,0,0,0,0,0,164
113,2006,Germany,Brazil,135,3,0,0,0,0,0,138
109,2006,Australia,Brazil,6,2,0,0,0,0,0,8
115,2006,France,Brazil,7,0,0,0,0,0,0,7
130,2007,Germany,Brazil,913,1,0,0,0,0,0,914
140,2007,United States of America,Brazil,502,197,0,0,0,0,0,699
127,2007,Canada,Brazil,165,96,0,0,0,0,0,261
124,2007,Australia,Brazil,15,0,0,0,0,0,0,15
133,2007,Ireland,Brazil,4,7,0,0,0,0,0,11
162,2008,United States of America,Brazil,528,189,0,0,0,0,0,717
146,2008,Germany,Brazil,658,0,0,0,0,0,0,658
143,2008,Canada,Brazil,176,154,0,0,0,0,0,330
154,2008,Ireland,Brazil,4,11,0,0,0,0,0,15
141,2008,Australia,Brazil,10,1,0,0,0,0,0,11
183,2009,United States of America,Brazil,594,166,0,0,0,0,0,760
166,2009,Canada,Brazil,168,178,0,0,0,0,0,346
168,2009,Germany,Brazil,163,2,0,0,0,0,0,165
165,2009,Brazil,Brazil,0,0,0,0,0,106,0,106
175,2009,Italy,Brazil,10,0,0,0,0,0,0,10
205,2010,United States of America,Brazil,629,31,0,0,0,0,0,660
186,2010,Canada,Brazil,168,179,0,0,0,0,0,347
188,2010,Germany,Brazil,143,0,0,0,0,0,0,143
197,2010,Ireland,Brazil,4,10,0,0,0,0,0,14
184,2010,Australia,Brazil,8,5,0,0,0,0,0,13
226,2011,United States of America,Brazil,662,36,0,0,0,0,0,698
209,2011,Canada,Brazil,169,95,0,0,0,0,0,264
211,2011,Germany,Brazil,159,3,0,0,0,0,0,162
215,2011,United Kingdom,Brazil,9,21,0,0,0,0,0,30
216,2011,Ireland,Brazil,4,14,0,0,0,0,0,18
249,2012,United States of America,Brazil,679,110,0,0,0,0,0,789
231,2012,Canada,Brazil,175,73,0,0,0,0,0,248
233,2012,Germany,Brazil,163,4,0,0,0,0,0,167
237,2012,United Kingdom,Brazil,9,16,0,0,0,0,0,25
240,2012,Italy,Brazil,12,12,0,0,0,0,0,24
280,2013,United States of America,Brazil,669,453,0,0,0,0,0,1122
256,2013,Canada,Brazil,177,25,0,0,0,0,0,202
260,2013,Germany,Brazil,66,10,0,0,0,0,0,76
265,2013,United Kingdom,Brazil,12,21,0,0,0,0,0,33
269,2013,Italy,Brazil,18,7,0,0,0,0,0,25
304,2014,United States of America,Brazil,656,1090,0,0,0,0,0,1746
284,2014,Canada,Brazil,172,7,0,0,0,0,0,179
287,2014,Germany,Brazil,58,16,0,0,0,0,0,74
295,2014,Italy,Brazil,31,10,0,0,0,0,0,41
292,2014,United Kingdom,Brazil,13,15,0,0,0,0,0,28
333,2015,United States of America,Brazil,627,2001,0,0,0,0,0,2628
309,2015,Canada,Brazil,124,30,0,0,0,0,0,154
321,2015,Italy,Brazil,43,27,0,0,0,0,0,70
313,2015,Germany,Brazil,35,10,0,0,0,0,0,45
318,2015,United Kingdom,Brazil,14,19,0,0,0,0,0,33
359,2016,United States of America,Brazil,594,3478,0,0,0,0,0,4072
350,2016,Italy,Brazil,64,82,0,0,0,0,0,146
339,2016,Canada,Brazil,63,49,0,0,0,0,0,112
343,2016,Germany,Brazil,29,26,0,0,0,0,0,55
347,2016,United Kingdom,Brazil,14,28,0,0,0,0,0,42
