,Year,Country,Origin,Refugees,Asylum,Returned refugees,Internally displaced persons,Returned IDPs,Stateless persons,Others of concern,Total Population
121,1998,Brazil,Liberia,244,0,0,0,0,0,0,244
109,1998,Brazil,Dem. Rep. of the Congo,164,0,0,0,0,0,0,164
144,1999,Brazil,Angola,1368,0,0,0,0,0,0,1368
160,1999,Brazil,Liberia,252,0,0,0,0,0,0,252
148,1999,Brazil,Dem. Rep. of the Congo,163,0,0,0,0,0,0,163
184,2000,Brazil,Angola,1579,206,0,0,0,0,0,1785
210,2000,Brazil,Liberia,255,3,0,0,0,0,0,258
223,2000,Brazil,Romania,1,241,0,0,0,0,0,242
237,2001,Brazil,Angola,1704,193,0,0,0,0,0,1897
265,2001,Brazil,Liberia,257,4,0,0,0,0,0,261
280,2001,Brazil,Romania,1,245,0,0,0,0,0,246
293,2002,Brazil,Angola,1908,126,0,0,0,0,0,2034
322,2002,Brazil,Liberia,270,30,0,0,0,0,0,300
302,2002,Brazil,Dem. Rep. of the Congo,196,13,0,0,0,0,0,209
350,2003,Brazil,Angola,1952,80,1,0,0,0,0,2033
380,2003,Brazil,Liberia,267,37,0,0,0,0,0,304
361,2003,Brazil,Dem. Rep. of the Congo,174,24,0,0,0,0,0,198
410,2004,Brazil,Angola,2005,88,0,0,0,0,0,2093
440,2004,Brazil,Liberia,284,27,0,0,0,0,0,311
421,2004,Brazil,Dem. Rep. of the Congo,185,39,0,0,0,0,0,224
488,2005,Brazil,Colombia,360,42,1,0,0,0,4000,4403
473,2005,Brazil,Angola,1751,13,0,0,0,0,0,1764
510,2005,Brazil,Liberia,261,2,0,0,0,0,0,263
557,2006,Brazil,Colombia,415,69,14,0,0,0,17000,17498
542,2006,Brazil,Angola,1674,14,1,0,0,0,0,1689
555,2006,Brazil,Dem. Rep. of the Congo,268,47,0,0,0,0,0,315
634,2007,Brazil,Colombia,17498,81,0,0,0,0,0,17579
617,2007,Brazil,Angola,1669,10,0,0,0,0,0,1679
632,2007,Brazil,Dem. Rep. of the Congo,292,46,0,0,0,0,0,338
699,2008,Brazil,Angola,1666,5,0,0,0,0,0,1671
716,2008,Brazil,Colombia,529,93,13,0,0,0,0,635
714,2008,Brazil,Dem. Rep. of the Congo,353,111,0,0,0,0,0,464
780,2009,Brazil,Angola,1683,1,0,0,0,0,0,1684
797,2009,Brazil,Colombia,597,38,1,0,0,0,0,636
795,2009,Brazil,Dem. Rep. of the Congo,383,30,0,0,0,0,0,413
864,2010,Brazil,Angola,1686,17,1,0,0,0,0,1704
880,2010,Brazil,Colombia,602,16,7,0,0,0,0,625
896,2010,Brazil,Haiti,3,592,0,0,0,0,0,595
982,2011,Brazil,Haiti,3,3872,0,0,0,0,0,3875
946,2011,Brazil,Angola,1686,23,0,0,0,0,0,1709
963,2011,Brazil,Colombia,654,106,4,0,0,0,0,764
1072,2012,Brazil,Haiti,3,0,0,0,0,0,5580,5583
1035,2012,Brazil,Angola,1684,27,0,0,0,0,0,1711
1052,2012,Brazil,Colombia,742,243,0,0,0,0,0,985
1163,2013,Brazil,Haiti,3,0,0,0,0,0,12318,12321
1132,2013,Brazil,Bangladesh,4,1707,0,0,0,0,0,1711
1144,2013,Brazil,Colombia,1147,110,13,0,0,0,0,1270
1263,2014,Brazil,Haiti,3,0,0,0,0,0,29238,29241
1304,2014,Brazil,Senegal,7,2247,0,0,0,0,0,2254
1226,2014,Brazil,Bangladesh,4,1947,0,0,0,0,0,1951
1382,2015,Brazil,Haiti,3,4,0,0,0,0,6264,6271
1427,2015,Brazil,Senegal,9,5210,0,0,0,0,0,5219
1438,2015,Brazil,Syrian Arab Rep.,2271,1154,0,0,0,0,0,3425
1513,2016,Brazil,Haiti,0,6909,0,0,0,0,22930,29843
1561,2016,Brazil,Senegal,14,5281,0,0,0,0,0,5295
1584,2016,Brazil,Venezuela (Bolivarian Republic of),30,4302,0,0,0,0,0,4332
